NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain0_worker53_r,8,bestfit,MinMin
domain0_worker54_r,8,bestfit,MinMin
domain0_worker55_r,8,bestfit,MinMin
domain0_worker56_r,8,bestfit,MinMin
domain0_worker57_r,8,bestfit,MinMin
domain0_worker58_r,8,bestfit,MinMin
domain0_worker59_r,8,bestfit,MinMin
domain0_worker60_r,8,bestfit,MinMin
domain0_worker61_r,8,bestfit,MinMin
domain0_worker62_r,8,bestfit,MinMin
domain0_worker63_r,8,bestfit,MinMin
domain0_worker64_r,8,bestfit,MinMin
domain0_worker65_r,8,bestfit,MinMin
domain0_worker66_r,8,bestfit,MinMin
domain0_worker67_r,8,bestfit,MinMin
domain0_worker68_r,8,bestfit,MinMin
domain0_worker69_r,8,bestfit,MinMin
domain0_worker70_r,8,bestfit,MinMin
domain0_worker71_r,8,bestfit,MinMin
domain0_worker72_r,8,bestfit,MinMin
domain0_worker73_r,8,bestfit,MinMin
domain0_worker74_r,8,bestfit,MinMin
domain0_worker75_r,8,bestfit,MinMin
domain0_worker76_r,8,bestfit,MinMin
domain0_worker77_r,8,bestfit,MinMin
domain0_worker78_r,8,bestfit,MinMin
domain0_worker79_r,8,bestfit,MinMin
domain0_worker80_r,8,bestfit,MinMin
domain0_worker81_r,8,bestfit,MinMin
domain0_worker82_r,8,bestfit,MinMin
domain0_worker83_r,8,bestfit,MinMin
domain0_worker84_r,8,bestfit,MinMin
domain0_worker85_r,8,bestfit,MinMin
domain0_worker86_r,8,bestfit,MinMin
domain0_worker87_r,8,bestfit,MinMin
domain0_worker88_r,8,bestfit,MinMin
domain0_worker89_r,8,bestfit,MinMin
domain0_worker90_r,8,bestfit,MinMin
domain0_worker91_r,8,bestfit,MinMin
domain0_worker92_r,8,bestfit,MinMin
domain0_worker93_r,8,bestfit,MinMin
domain0_worker94_r,8,bestfit,MinMin
domain0_worker95_r,8,bestfit,MinMin
domain0_worker96_r,8,bestfit,MinMin
domain0_worker97_r,8,bestfit,MinMin
domain0_worker98_r,8,bestfit,MinMin
domain0_worker99_r,8,bestfit,MinMin
domain0_worker100_r,8,bestfit,MinMin
domain0_worker101_r,8,bestfit,MinMin
domain0_worker102_r,8,bestfit,MinMin
domain0_worker103_r,8,bestfit,MinMin
domain0_worker104_r,8,bestfit,MinMin
domain0_worker105_r,8,bestfit,MinMin
domain0_worker106_r,8,bestfit,MinMin
domain0_worker107_r,8,bestfit,MinMin
domain0_worker108_r,8,bestfit,MinMin
domain0_worker109_r,8,bestfit,MinMin
domain0_worker110_r,8,bestfit,MinMin
domain0_worker111_r,8,bestfit,MinMin
domain0_worker112_r,8,bestfit,MinMin
domain0_worker113_r,8,bestfit,MinMin
domain0_worker114_r,8,bestfit,MinMin
domain0_worker115_r,8,bestfit,MinMin
domain0_worker116_r,8,bestfit,MinMin
domain0_worker117_r,8,bestfit,MinMin
domain0_worker118_r,8,bestfit,MinMin
domain0_worker119_r,8,bestfit,MinMin
domain0_worker120_r,8,bestfit,MinMin
domain0_worker121_r,8,bestfit,MinMin
domain0_worker122_r,8,bestfit,MinMin
domain0_worker123_r,8,bestfit,MinMin
domain0_worker124_r,8,bestfit,MinMin
domain0_worker125_r,8,bestfit,MinMin
domain0_worker126_r,8,bestfit,MinMin
domain0_worker127_r,8,bestfit,MinMin
domain0_worker128_r,8,bestfit,MinMin
domain0_worker129_r,8,bestfit,MinMin
domain0_worker130_r,8,bestfit,MinMin
domain0_worker131_r,8,bestfit,MinMin
domain0_worker132_r,8,bestfit,MinMin
domain0_worker133_r,8,bestfit,MinMin
domain0_worker134_r,8,bestfit,MinMin
domain0_worker135_r,8,bestfit,MinMin
domain0_worker136_r,8,bestfit,MinMin
domain0_worker137_r,8,bestfit,MinMin
domain0_worker138_r,8,bestfit,MinMin
domain0_worker139_r,8,bestfit,MinMin
domain0_worker140_r,8,bestfit,MinMin
domain0_worker141_r,8,bestfit,MinMin
domain0_worker142_r,8,bestfit,MinMin
domain0_worker143_r,8,bestfit,MinMin
domain0_worker144_r,8,bestfit,MinMin
domain0_worker145_r,8,bestfit,MinMin
domain0_worker146_r,8,bestfit,MinMin
domain0_worker147_r,8,bestfit,MinMin
domain0_worker148_r,8,bestfit,MinMin
domain0_worker149_r,8,bestfit,MinMin
domain0_worker150_r,8,bestfit,MinMin
domain0_worker151_r,8,bestfit,MinMin
domain0_worker152_r,8,bestfit,MinMin
domain0_worker153_r,8,bestfit,MinMin
domain0_worker154_r,8,bestfit,MinMin
domain0_worker155_r,8,bestfit,MinMin
domain0_worker156_r,8,bestfit,MinMin
domain0_worker157_r,8,bestfit,MinMin
domain0_worker158_r,8,bestfit,MinMin
domain0_worker159_r,8,bestfit,MinMin
domain0_worker160_r,8,bestfit,MinMin
domain0_worker161_r,8,bestfit,MinMin
domain0_worker162_r,8,bestfit,MinMin
domain0_worker163_r,8,bestfit,MinMin
domain0_worker164_r,8,bestfit,MinMin
domain0_worker165_r,8,bestfit,MinMin
domain0_worker166_r,8,bestfit,MinMin
domain0_worker167_r,8,bestfit,MinMin
domain0_worker168_r,8,bestfit,MinMin
domain0_worker169_r,8,bestfit,MinMin
domain0_worker170_r,8,bestfit,MinMin
domain0_worker171_r,8,bestfit,MinMin
domain0_worker172_r,8,bestfit,MinMin
domain0_worker173_r,8,bestfit,MinMin
domain0_worker174_r,8,bestfit,MinMin
domain0_worker175_r,8,bestfit,MinMin
domain0_worker176_r,8,bestfit,MinMin
domain0_worker177_r,8,bestfit,MinMin
domain0_worker178_r,8,bestfit,MinMin
domain0_worker179_r,8,bestfit,MinMin
domain0_worker180_r,8,bestfit,MinMin
domain0_worker181_r,8,bestfit,MinMin
domain0_worker182_r,8,bestfit,MinMin
domain0_worker183_r,8,bestfit,MinMin
domain0_worker184_r,8,bestfit,MinMin
domain0_worker185_r,8,bestfit,MinMin
domain0_worker186_r,8,bestfit,MinMin
domain0_worker187_r,8,bestfit,MinMin
domain0_worker188_r,8,bestfit,MinMin
domain0_worker189_r,8,bestfit,MinMin
domain0_worker190_r,8,bestfit,MinMin
domain0_worker191_r,8,bestfit,MinMin
domain0_worker192_r,8,bestfit,MinMin
domain0_worker193_r,8,bestfit,MinMin
domain0_worker194_r,8,bestfit,MinMin
domain0_worker195_r,8,bestfit,MinMin
domain0_worker196_r,8,bestfit,MinMin
domain0_worker197_r,8,bestfit,MinMin
domain0_worker198_r,8,bestfit,MinMin
