NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain1_worker49_r,8,bestfit,MinMin
domain1_worker50_r,8,bestfit,MinMin
domain1_worker51_r,8,bestfit,MinMin
domain1_worker52_r,8,bestfit,MinMin
domain1_worker53_r,8,bestfit,MinMin
domain1_worker54_r,8,bestfit,MinMin
domain1_worker55_r,8,bestfit,MinMin
domain1_worker56_r,8,bestfit,MinMin
domain1_worker57_r,8,bestfit,MinMin
domain1_worker58_r,8,bestfit,MinMin
domain1_worker59_r,8,bestfit,MinMin
domain1_worker60_r,8,bestfit,MinMin
domain1_worker61_r,8,bestfit,MinMin
domain1_worker62_r,8,bestfit,MinMin
domain1_worker63_r,8,bestfit,MinMin
domain1_worker64_r,8,bestfit,MinMin
domain1_worker65_r,8,bestfit,MinMin
domain1_worker66_r,8,bestfit,MinMin
domain1_worker67_r,8,bestfit,MinMin
domain1_worker68_r,8,bestfit,MinMin
domain1_worker69_r,8,bestfit,MinMin
domain1_worker70_r,8,bestfit,MinMin
domain1_worker71_r,8,bestfit,MinMin
domain1_worker72_r,8,bestfit,MinMin
domain1_worker73_r,8,bestfit,MinMin
domain1_worker74_r,8,bestfit,MinMin
domain1_worker75_r,8,bestfit,MinMin
domain1_worker76_r,8,bestfit,MinMin
domain1_worker77_r,8,bestfit,MinMin
domain1_worker78_r,8,bestfit,MinMin
domain1_worker79_r,8,bestfit,MinMin
domain1_worker80_r,8,bestfit,MinMin
domain1_worker81_r,8,bestfit,MinMin
domain1_worker82_r,8,bestfit,MinMin
domain1_worker83_r,8,bestfit,MinMin
domain1_worker84_r,8,bestfit,MinMin
domain1_worker85_r,8,bestfit,MinMin
domain1_worker86_r,8,bestfit,MinMin
domain1_worker87_r,8,bestfit,MinMin
domain1_worker88_r,8,bestfit,MinMin
domain1_worker89_r,8,bestfit,MinMin
domain1_worker90_r,8,bestfit,MinMin
domain1_worker91_r,8,bestfit,MinMin
domain1_worker92_r,8,bestfit,MinMin
domain1_worker93_r,8,bestfit,MinMin
domain1_worker94_r,8,bestfit,MinMin
domain1_worker95_r,8,bestfit,MinMin
domain1_worker96_r,8,bestfit,MinMin
domain1_worker97_r,8,bestfit,MinMin
domain1_worker98_r,8,bestfit,MinMin
domain1_worker99_r,8,bestfit,MinMin
domain1_worker100_r,8,bestfit,MinMin
domain1_worker101_r,8,bestfit,MinMin
domain1_worker102_r,8,bestfit,MinMin
domain1_worker103_r,8,bestfit,MinMin
domain1_worker104_r,8,bestfit,MinMin
domain1_worker105_r,8,bestfit,MinMin
domain1_worker106_r,8,bestfit,MinMin
domain1_worker107_r,8,bestfit,MinMin
domain1_worker108_r,8,bestfit,MinMin
domain1_worker109_r,8,bestfit,MinMin
domain1_worker110_r,8,bestfit,MinMin
domain1_worker111_r,8,bestfit,MinMin
domain1_worker112_r,8,bestfit,MinMin
domain1_worker113_r,8,bestfit,MinMin
domain1_worker114_r,8,bestfit,MinMin
domain1_worker115_r,8,bestfit,MinMin
domain1_worker116_r,8,bestfit,MinMin
domain1_worker117_r,8,bestfit,MinMin
domain1_worker118_r,8,bestfit,MinMin
domain1_worker119_r,8,bestfit,MinMin
domain1_worker120_r,8,bestfit,MinMin
domain1_worker121_r,8,bestfit,MinMin
domain1_worker122_r,8,bestfit,MinMin
domain1_worker123_r,8,bestfit,MinMin
domain1_worker124_r,8,bestfit,MinMin
domain1_worker125_r,8,bestfit,MinMin
domain1_worker126_r,8,bestfit,MinMin
domain1_worker127_r,8,bestfit,MinMin
domain1_worker128_r,8,bestfit,MinMin
domain1_worker129_r,8,bestfit,MinMin
domain1_worker130_r,8,bestfit,MinMin
domain1_worker131_r,8,bestfit,MinMin
domain1_worker132_r,8,bestfit,MinMin
domain1_worker133_r,8,bestfit,MinMin
domain1_worker134_r,8,bestfit,MinMin
domain1_worker135_r,8,bestfit,MinMin
domain1_worker136_r,8,bestfit,MinMin
domain1_worker137_r,8,bestfit,MinMin
domain1_worker138_r,8,bestfit,MinMin
domain1_worker139_r,8,bestfit,MinMin
domain1_worker140_r,8,bestfit,MinMin
domain1_worker141_r,8,bestfit,MinMin
domain1_worker142_r,8,bestfit,MinMin
domain1_worker143_r,8,bestfit,MinMin
domain1_worker144_r,8,bestfit,MinMin
domain1_worker145_r,8,bestfit,MinMin
domain1_worker146_r,8,bestfit,MinMin
domain1_worker147_r,8,bestfit,MinMin
domain1_worker148_r,8,bestfit,MinMin
domain1_worker149_r,8,bestfit,MinMin
domain1_worker150_r,8,bestfit,MinMin
domain1_worker151_r,8,bestfit,MinMin
domain1_worker152_r,8,bestfit,MinMin
domain1_worker153_r,8,bestfit,MinMin
domain1_worker154_r,8,bestfit,MinMin
domain1_worker155_r,8,bestfit,MinMin
domain1_worker156_r,8,bestfit,MinMin
domain1_worker157_r,8,bestfit,MinMin
domain1_worker158_r,8,bestfit,MinMin
domain1_worker159_r,8,bestfit,MinMin
domain1_worker160_r,8,bestfit,MinMin
domain1_worker161_r,8,bestfit,MinMin
domain1_worker162_r,8,bestfit,MinMin
domain1_worker163_r,8,bestfit,MinMin
domain1_worker164_r,8,bestfit,MinMin
domain1_worker165_r,8,bestfit,MinMin
domain1_worker166_r,8,bestfit,MinMin
domain1_worker167_r,8,bestfit,MinMin
domain1_worker168_r,8,bestfit,MinMin
domain1_worker169_r,8,bestfit,MinMin
domain1_worker170_r,8,bestfit,MinMin
domain1_worker171_r,8,bestfit,MinMin
domain1_worker172_r,8,bestfit,MinMin
domain1_worker173_r,8,bestfit,MinMin
domain1_worker174_r,8,bestfit,MinMin
domain1_worker175_r,8,bestfit,MinMin
domain1_worker176_r,8,bestfit,MinMin
domain1_worker177_r,8,bestfit,MinMin
domain1_worker178_r,8,bestfit,MinMin
domain1_worker179_r,8,bestfit,MinMin
domain1_worker180_r,8,bestfit,MinMin
domain1_worker181_r,8,bestfit,MinMin
domain1_worker182_r,8,bestfit,MinMin
